username,repo_name,stars,repo_url
dotnet,aspnetcore,35600,https://github.com/dotnet/aspnetcore
jellyfin,jellyfin,35400,https://github.com/jellyfin/jellyfin
files-community,Files,34700,https://github.com/files-community/Files
SeleniumHQ,selenium,30800,https://github.com/SeleniumHQ/selenium
AvaloniaUI,Avalonia,26100,https://github.com/AvaloniaUI/Avalonia
dotnet,maui,22300,https://github.com/dotnet/maui
pulumi,pulumi,21900,https://github.com/pulumi/pulumi
icsharpcode,ILSpy,21700,https://github.com/icsharpcode/ILSpy
dotnet,core,21000,https://github.com/dotnet/core
BeyondDimension,SteamTools,20400,https://github.com/BeyondDimension/SteamTools
quozd,awesome-dotnet,19400,https://github.com/quozd/awesome-dotnet
MoienTajik,AspNetCore-Developer-Roadmap,18700,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
dotnet,corefx,17700,https://github.com/dotnet/corefx
ardalis,CleanArchitecture,16500,https://github.com/ardalis/CleanArchitecture
microsoft,react-native-windows,16400,https://github.com/microsoft/react-native-windows
bitwarden,server,15700,https://github.com/bitwarden/server
dotnet,runtime,15400,https://github.com/dotnet/runtime
amplication,amplication,15300,https://github.com/amplication/amplication
OpenRA,OpenRA,14800,https://github.com/OpenRA/OpenRA
App-vNext,Polly,13500,https://github.com/App-vNext/Polly
